時間,Group1_Production_包装機(産業機械)_#06,Group1_Production_包装機(産業機械)_#16,Group2_Production_産業機械_#04,Group2_Production_産業機械_#05,Group2_Production_産業機械_#08,Group2_Production_産業機械_#11,Group2_Production_産業機械_#13,Group3_Production_成形機(産業機械)_#02,Group4_Production_産業機械_#03,Group4_Production_産業機械_#09,Group4_Production_産業機械_#12,Group5_Production_産業機械_#14,Group6_Production_産業機械_#01,Group7_Production_産業機械_#07,Group8_Production_産業機械_#15,Group9_Production_産業機械_#10,
09:55,804.4000000000001,0,2379,1145.8,1374.4,1096.8,1689.3999999999999,1986.4,2485.4,2310.4,300.8,795,289.8,50,33.800000000000004,0,
09:56,680.8,0,2286.6,1082.1999999999998,1246,1080.2,1548.1999999999998,1898.9999999999998,2422,2225.6,336.4,786.5999999999999,249.8,45.800000000000004,27.400000000000002,5,
09:57,822.4,0,2362.4,1133.6000000000001,1347.8,1085.3999999999999,1661.4,2066,2479.7999999999997,2275,315.6,773,350.8,29.799999999999997,21.4,0,
09:58,770.2,0.4,2290.6,1075.8,1312,998.6,1657.6000000000001,1943,2319,2173,310.40000000000003,746.8,357.6,26.200000000000003,23.200000000000003,0,
09:59,759,0.2,2298.8,1075.3999999999999,1296.4,1029,1644.6000000000001,1887.6000000000001,2295,2202.4,309.4,738.8,327,39,26.400000000000002,0.8,
10:00,795.8000000000001,0.4,2311.7999999999997,1084.3999999999999,1307.1999999999998,1013.0000000000001,1658.6,1939.8,2329,2194.2,309.2,767.6,343.2,42.8,23.400000000000002,0.8,
10:01,716.6,0,2272.8,1086,1312,1045.4,1520,2040.4,2345.6,2107.4,335.2,712.2,296.20000000000005,58.8,34,1.2,
10:02,740.2,0,2377.6,1143.2,1380.4,1010.3999999999999,1643.4,2168,2452,2170.2000000000003,281.4,790.4,332.4,51.6,40.6,1.4000000000000001,
10:03,642,0,2300.6,1085.2,1324.2,1001.8000000000001,1586.6,2086,2312.4,2058.8,280.2,751.4,310.40000000000003,55.400000000000006,36.4,0,
10:04,711.5999999999999,0.2,2409.7999999999997,1117.2,1377.3999999999999,1007.8,1687.3999999999999,2226.2,2385,2109,315.4,742,422.20000000000005,37.2,26.8,0,
10:05,686.8000000000001,0.4,2411.2,1119.4,1382.4,970.2,1660.2,2281.4,2386.4,2071.3999999999996,311.4,735,454.8,29.2,20.200000000000003,2.1999999999999997,
10:06,488.8,0,2127,902.6,1206,921.1999999999999,1456.2,2010.0000000000002,2272.8,2041.6000000000001,294.4,722.4,240.79999999999998,46.800000000000004,41.4,11.4,
10:07,476.40000000000003,0,2101.2,934.8000000000001,1207.6000000000001,936,1424.6000000000001,1945.4,2192.2000000000003,1984,302.2,680.1999999999999,166.4,50,54,2.4,
