時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
17:06,10.8,0,132.4,223.8,159.60000000000002,276.2,147.4,214.6,220.00000000000003,44,94.6,46.6,30.599999999999998,49.2,80.2,7.3999999999999995,
17:07,9.2,0,129,228.6,154.20000000000002,282.2,149.8,206.6,221.8,42.8,96.39999999999999,49,27.6,46.800000000000004,78.2,8,
17:08,9.2,0,131,227.4,157.6,279,150,205.39999999999998,223.20000000000002,43,93.60000000000001,47,28.599999999999998,50.6,80,8,
17:09,8,0,130.6,231.99999999999997,151.2,279.4,145,208.2,219.20000000000002,44.800000000000004,101.8,50.6,26,46.400000000000006,85,7.199999999999999,
17:10,10.2,0,134.20000000000002,228.2,158.4,278.6,149,212.2,221.20000000000002,43.4,96,46.800000000000004,28.999999999999996,45,82.39999999999999,7.8,
17:11,10,0,132,231.2,157.8,281.4,150,210.6,222.6,44.2,93.60000000000001,48.6,28.000000000000004,45.2,80,7.6,
17:12,9.8,0.4,130.8,229.8,155.8,280.6,152.4,208,223.8,42.6,91.8,48.4,30.2,43.2,76.4,8,
17:13,11.600000000000001,0,135,234.79999999999998,161.20000000000002,273.4,146.8,211.79999999999998,230.39999999999998,45.6,86.4,48.6,29.2,39.2,77.60000000000001,7.199999999999999,
17:14,9.6,0,124.8,201.2,170.2,286.6,145,221.20000000000002,216.6,44.4,88.2,47.199999999999996,32.4,70.6,69.6,7.8,
17:15,10.2,0,135.20000000000002,263.6,147,272.2,153.8,192.79999999999998,235.6,46.400000000000006,90.2,50.8,21.2,20,85.6,7.000000000000001,
17:16,7.8,0,127.60000000000001,222.8,157.8,283.8,147.2,212.2,219,44.4,95,49.2,30,51,77.8,7.6,
17:17,10.6,0,131.6,231,155.4,275.59999999999997,150,208.6,224.00000000000003,44,93.8,49.2,29.4,44.4,78.8,7.3999999999999995,
17:18,9.6,0,131.6,229,154.20000000000002,276.79999999999995,149.6,208.6,222.00000000000003,43.2,94.8,49.2,30,43.4,80.4,7.199999999999999,
17:19,10,0,132.4,232.79999999999998,155.6,275.4,148.6,211,221.60000000000002,44,94.8,48.6,30,40.2,80.4,7.3999999999999995,
17:20,163.79999999999998,114.99999999999999,918.2,1608.3999999999999,1074.2,1748.8,992.8000000000001,1123.4,1129.8,227.2,347,190,501.40000000000003,1340,800.2,8.200000000000001,
17:21,21.8,0.4,270.8,334.4,326,398.6,327.4,407.8,424,58.4,116.6,71.39999999999999,84.2,44.800000000000004,107.2,18.4,
17:22,24.2,0.6,271.20000000000005,339.8,330,398.8,328.2,403.2,431.59999999999997,62.8,106,71.6,80,48.6,102.2,18,
17:23,23.400000000000002,3.5999999999999996,274,329.59999999999997,331,394.20000000000005,327,409,432,58.4,104.60000000000001,67.80000000000001,89.60000000000001,49.2,103,18,
17:24,22.400000000000002,1.4000000000000001,271,336.6,325.4,395.2,324.2,396.20000000000005,445.6,59.199999999999996,107.80000000000001,70.8,84,50,107.60000000000001,17.599999999999998,
17:25,15.2,0.2,188.79999999999998,268.6,229,325.8,221.4,293.2,306.4,49,102.4,58.599999999999994,53.800000000000004,47.199999999999996,88.2,12,
17:26,10.2,0,132,231.6,153.8,276.2,149.2,208.2,224.00000000000003,42.8,97.2,48.4,29.599999999999998,41.199999999999996,80.80000000000001,7.6,
17:27,11.600000000000001,0,134.20000000000002,224.8,158.8,277.2,153.4,212.4,221.20000000000002,42.4,93,47.599999999999994,29.599999999999998,40.8,77.8,7.8,
17:28,25.6,34.4,879.1999999999999,1326.2,898.1999999999999,1370.6,950.4,1257.1999999999998,956.6,307.2,517.4000000000001,252.2,256.8,871.0000000000001,672.2,25.2,
17:29,306.8,107.2,1040.8,1797.6,1485.3999999999999,1973.8,1652.1999999999998,1296.2,1956.8000000000002,326.2,659,403.4,513.6,1717.8000000000002,1037.4,0,
17:30,73.8,90.60000000000001,785.6,1404.4,1108.2,1270.2,864,967,1135.8,204,385.8,214.8,296.6,915.1999999999999,586,29.4,
